cliente_id,nome_cliente,tipo_cliente,nif,data_registo,cidade,distrito,canal_captacao,score_atividade,obs_comercial
C0001,Take-away 001,Take-away,245365139,2024-05-19,Vila Nova de Gaia,Porto,Telefone,0.947,cliente estratégico
C0002,Supermercado 002,Supermercado,245478476,2025-02-15,Vila Nova de Gaia,Porto,E-commerce,1.572,
C0003,Supermercado 003,Supermercado,226441226,2021/10/22,Viana do Castelo,Viana do Castelo,Marketplace,1.928,cliente estratégico
C0004,Restaurante 004,Restaurante,239582554,2022-04-15,Vila Nova de Gaia,Porto,Telefone,2.127,
C0005,Particular 005,Particular,210226594,05/09/2021,Santo Tirso,Porto,E-commerce,0.131,
C0006,Take-away 006,Take-away,244729024,2023-01-01,Barcelos,Braga,Marketplace,0.748,
C0007,Hotel 007,Hotel,260056379,2023/09/19,Barcelos,Braga,E-commerce,1.638,
C0008,Restaurante 008,Restaurante,216149829,2024/11/16,Porto,Porto,Vendas Externas,0.819,
C0009,Hotel 009,Hotel,220072421,26/03/2024,Valongo,Porto,E-commerce,1.466,
C0010,Hotel 010,Hotel,220816648,2021-03-03,Matosinhos,Porto,Telefone,1.022,
C0011,Restaurante 011,Restaurante,232548573,2021/12/27,Barcelos,Braga,Marketplace,0.775,
C0012,Supermercado 012,Supermercado,219203572,03/06/2023,Matosinhos,Porto,E-commerce,3.22,follow-up trimestral
C0013,Restaurante 013,Restaurante,250655981,2025/02/19,Viana do Castelo,Viana do Castelo,E-commerce,0.912,
C0014,Particular 014,Particular,247411425,2025-09-18,Maia,Porto,Telefone,0.08,
C0015,Take-away 015,Take-away,268750822,2021-08-23,Braga,Braga,E-commerce,1.186,follow-up trimestral
C0016,Supermercado 016,Supermercado,222339307,2024-05-10,Valongo,Porto,Vendas Externas,0.831,
C0017,Particular 017,Particular,254003168,2025/05/08,Viana do Castelo,Viana do Castelo,E-commerce,0.083,
C0018,Restaurante 018,Restaurante,203357584,2024-06-18,Porto,Porto,E-commerce,1.243,follow-up trimestral
C0019,Take-away 019,Take-away,248515369,2022/01/07,Espinho,Aveiro,Vendas Externas,0.717,follow-up trimestral
C0020,Restaurante 020,Restaurante,209694902,2025/10/17,Matosinhos,Porto,E-commerce,0.981,
C0021,Restaurante 021,Restaurante,207109424,2024/03/18,Maia,Porto,E-commerce,2.69,
C0022,Supermercado 022,Supermercado,244652392,2023/05/16,Guimarães,Braga,E-commerce,1.304,
C0023,Supermercado 023,Supermercado,269022083,2022-08-20,Barcelos,Braga,Vendas Externas,1.948,
C0024,Restaurante 024,Restaurante,250461639,02/10/2023,Aveiro,Aveiro,Telefone,0.832,
C0025,Restaurante 025,Restaurante,237488395,2022-10-07,Espinho,Aveiro,Vendas Externas,0.825,follow-up trimestral
C0026,Take-away 026,Take-away,253504095,2022-10-08,Viana do Castelo,Viana do Castelo,Telefone,0.464,
C0027,Particular 027,Particular,264129952,2022/05/17,Santo Tirso,Porto,Marketplace,0.098,
C0028,Particular 028,Particular,256133419,2024/06/20,Barcelos,Braga,Telefone,0.169,
C0029,Restaurante 029,Restaurante,205929045,2021-06-23,Barcelos,Braga,Vendas Externas,1.46,follow-up trimestral
C0030,Restaurante 030,Restaurante,263725841,2023-04-16,Espinho,Aveiro,Telefone,1.88,follow-up trimestral
C0031,Hotel 031,Hotel,224040688,2021-08-15,Porto,Porto,Marketplace,2.15,
C0032,Supermercado 032,Supermercado,229910936,29/10/2022,Valongo,Porto,E-commerce,1.298,
C0033,Take-away 033,Take-away,222814600,2021/03/01,Braga,Braga,Telefone,0.488,
C0034,Restaurante 034,Restaurante,262387643,09/07/2024,Vila Nova de Gaia,Porto,E-commerce,0.4,
C0035,Particular 035,Particular,219382879,2023/07/01,Guimarães,Braga,Marketplace,0.291,
C0036,Supermercado 036,Supermercado,273088586,05/05/2021,Guimarães,Braga,Vendas Externas,2.431,cliente estratégico
C0037,Supermercado 037,Supermercado,204036876,30/08/2021,Porto,Porto,Telefone,3.479,
C0038,Take-away 038,Take-away,204908732,2025-03-24,Matosinhos,Porto,Vendas Externas,0.702,cliente estratégico
C0039,Take-away 039,Take-away,220696653,08/05/2021,Vila Nova de Gaia,Porto,E-commerce,0.51,
C0040,Restaurante 040,Restaurante,201421527,2022-12-15,Braga,Braga,Telefone,1.06,
C0041,Supermercado 041,Supermercado,226344991,2022-04-09,Póvoa de Varzim,Porto,Marketplace,1.469,
